year,bucket,n_articles
2019,text_genetic_correlation,227
2019,text_heritability,353
2019,text_longitudinal,240
2019,text_meta_analysis,401
2019,text_metabolomics,39
2019,text_mitochondrial,9
2019,text_noncoding,404
2019,text_pathway_analysis,140
2019,text_proteomics,62
2019,text_sex_chromosome,29
2019,text_single_cell,26
2019,text_structural_variant,63
2019,text_transcriptomics,415
2020,MeSH_GWAS,3316
2020,text_AI_genomics,73
2020,text_GWAS_core,3575
2020,text_HLA,139
2020,text_MR,387
2020,text_PRS,315
2020,text_biobank,396
2020,text_colocalization,36
2020,text_epigenomics,347
2020,text_exome,121
2020,text_family_based,100
2020,text_finemapping,163
2020,text_functional_annotation,102
2020,text_gene_prioritization,203
2020,text_genetic_correlation,281
2020,text_heritability,339
2020,text_longitudinal,253
2020,text_meta_analysis,385
2020,text_metabolomics,62
2020,text_mitochondrial,11
2020,text_noncoding,413
2020,text_pathway_analysis,134
2020,text_proteomics,68
2020,text_sex_chromosome,28
2020,text_single_cell,57
2020,text_spatial_transcriptomics,1
2020,text_structural_variant,78
2020,text_transcriptomics,469
2021,MeSH_GWAS,3869
2021,text_AI_genomics,113
2021,text_GWAS_core,4499
2021,text_HLA,184
2021,text_MR,715
2021,text_PRS,411
2021,text_biobank,604
2021,text_colocalization,91
2021,text_epigenomics,405
2021,text_exome,146
2021,text_family_based,95
2021,text_finemapping,206
2021,text_functional_annotation,109
2021,text_gene_prioritization,217
2021,text_genetic_correlation,462
2021,text_heritability,399
2021,text_longitudinal,271
2021,text_meta_analysis,503
2021,text_metabolomics,74
2021,text_mitochondrial,18
2021,text_noncoding,432
2021,text_pathway_analysis,141
2021,text_proteomics,72
2021,text_sex_chromosome,38
2021,text_single_cell,81
2021,text_spatial_transcriptomics,2
2021,text_structural_variant,89
2021,text_transcriptomics,576
2022,MeSH_GWAS,3697
2022,text_AI_genomics,99
2022,text_GWAS_core,4621
2022,text_HLA,129
2022,text_MR,975
2022,text_PRS,483
2022,text_biobank,703
2022,text_colocalization,107
2022,text_epigenomics,332
2022,text_exome,123
2022,text_family_based,74
2022,text_finemapping,220
2022,text_functional_annotation,127
2022,text_gene_prioritization,215
2022,text_genetic_correlation,594
2022,text_heritability,421
2022,text_longitudinal,252
2022,text_meta_analysis,551
2022,text_metabolomics,103
2022,text_mitochondrial,13
2022,text_noncoding,368
2022,text_pathway_analysis,117
2022,text_proteomics,99
2022,text_sex_chromosome,32
2022,text_single_cell,91
2022,text_spatial_transcriptomics,1
2022,text_structural_variant,64
2022,text_transcriptomics,547
2023,MeSH_GWAS,4044
2023,text_AI_genomics,131
2023,text_GWAS_core,5418
2023,text_HLA,148
2023,text_MR,1867
2023,text_PRS,507
2023,text_biobank,916
2023,text_colocalization,177
2023,text_epigenomics,325
2023,text_exome,122
2023,text_family_based,72
2023,text_finemapping,244
2023,text_functional_annotation,109
2023,text_gene_prioritization,267
2023,text_genetic_correlation,984
2023,text_heritability,391
2023,text_longitudinal,301
2023,text_meta_analysis,618
2023,text_metabolomics,124
2023,text_mitochondrial,15
2023,text_noncoding,341
2023,text_pathway_analysis,132
2023,text_proteomics,151
2023,text_sex_chromosome,39
2023,text_single_cell,135
2023,text_spatial_transcriptomics,4
2023,text_structural_variant,91
2023,text_transcriptomics,579
2024,MeSH_GWAS,5533
2024,text_AI_genomics,184
2024,text_GWAS_core,7283
2024,text_HLA,271
2024,text_MR,3763
2024,text_PRS,568
2024,text_biobank,1238
2024,text_colocalization,356
2024,text_epigenomics,346
2024,text_exome,113
2024,text_family_based,73
2024,text_finemapping,287
2024,text_functional_annotation,125
2024,text_gene_prioritization,339
2024,text_genetic_correlation,1822
2024,text_heritability,407
2024,text_longitudinal,308
2024,text_meta_analysis,778
2024,text_metabolomics,175
2024,text_mitochondrial,20
2024,text_noncoding,408
2024,text_pathway_analysis,199
2024,text_proteomics,290
2024,text_sex_chromosome,37
2024,text_single_cell,249
2024,text_spatial_transcriptomics,11
2024,text_structural_variant,93
